objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
No._052,beregovski052.png,,,No. 052,Beregovski (trans.); Malin (encoded),,Skotshne,Minor,,,,2015,,listening,image/png,,,
No._053,beregovski053.png,,,No. 053,Beregovski (trans.); Malin (encoded),,Skotshne,Minor,,,,2015,,listening,image/png,,,
No._054,beregovski054.png,,,No. 054,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2015,,listening,image/png,,,
No._055,beregovski055.png,,,No. 055,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2015,,listening,image/png,,,
No._056,beregovski056.png,,,No. 056,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2015,,listening,image/png,,,
No._057,beregovski057.png,,,No. 057,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2015,,listening,image/png,,,
No._058,beregovski058.png,,,No. 058,Beregovski (trans.); Malin (encoded),,Freylekhs (fun der khupe),Altered Dorian,,,,2015,,listening,image/png,,,
No._059,beregovski059.png,,,No. 059,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2015,,listening,image/png,,,
No._060,beregovski060.png,,,No. 060,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2015,,listening,image/png,,,
No._061,beregovski061.png,,,No. 061,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._062,beregovski062.png,,,No. 062,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._063,beregovski063.png,,,No. 063,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._064,beregovski064.png,,,No. 064,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._065,beregovski065.png,,,No. 065,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._066,beregovski066.png,,,No. 066,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._067,beregovski067.png,,,No. 067,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._068,beregovski068.png,,,No. 068,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._069,beregovski069.png,,,No. 069,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._070,beregovski070.png,,,No. 070,Beregovski (trans.); Malin (encoded),,Gas-nign,Freygish,,,,2015,,listening,image/png,,,
No._071,beregovski071.png,,,No. 071,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._072,beregovski072.png,,,No. 072,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._073,beregovski073.png,,,No. 073,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._074,beregovski074.png,,,No. 074,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._075,beregovski075.png,,,No. 075,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._076,beregovski076.png,,,No. 076,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._077,beregovski077.png,,,No. 077,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._078,beregovski078.png,,,No. 078,Beregovski (trans.); Malin (encoded),,Gas-nign,Minor,,,,2015,,listening,image/png,,,
No._079,beregovski079.png,,,No. 079,Beregovski (trans.); Malin (encoded),,A gute nakht,Freygish,,,,2015,,listening,image/png,,,
No._080,beregovski080.png,,,No. 080,Beregovski (trans.); Malin (encoded),,A gute nakht,Minor,,,,2015,,listening,image/png,,,
No._081,beregovski081.png,,,No. 081,Beregovski (trans.); Malin (encoded),,Zay gezunt,Freygish,,,,2015,,listening,image/png,,,
No._082,beregovski082.png,,,No. 082,Beregovski (trans.); Malin (encoded),,Zay gezunt,Freygish,,,,2015,,listening,image/png,,,
No._083,beregovski083.png,,,No. 083,Beregovski (trans.); Malin (encoded),,Zay gezunt,Minor,,,,2015,,listening,image/png,,,
No._084,beregovski084.png,,,No. 084,Beregovski (trans.); Malin (encoded),,Zay gezunt,Minor,,,,2015,,listening,image/png,,,
No._085,beregovski085.png,,,No. 085,Beregovski (trans.); Malin (encoded),,,,,,,N/A,,N/A,image/png,,,
No._086,beregovski086.png,,,No. 086,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._087,beregovski087.png,,,No. 087,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._088,beregovski088.png,,,No. 088,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._089,beregovski089.png,,,No. 089,Beregovski (trans.); Malin (encoded),,Tants,Freygish,,,,2001,,dance,image/png,,,
No._090,beregovski090.png,,,No. 090,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._091,beregovski091.png,,,No. 091,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._092,beregovski092.png,,,No. 092,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._093,beregovski093.png,,,No. 093,Beregovski (trans.); Malin (encoded),,Skotshne,Freygish,,,,2001,,dance,image/png,,,
No._094,beregovski094.png,,,No. 094,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._095,beregovski095.png,,,No. 095,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._096,beregovski096.png,,,No. 096,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._097,beregovski097.png,,,No. 097,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._098,beregovski098.png,,,No. 098,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._099,beregovski099.png,,,No. 099,Beregovski (trans.); Malin (encoded),,Hopke,Freygish,,,,2001,,dance,image/png,,,
No._100,beregovski100.png,,,No. 100,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._101,beregovski101.png,,,No. 101,Beregovski (trans.); Malin (encoded),,,,,,,N/A,,N/A,image/png,,,
No._102,beregovski102.png,,,No. 102,Beregovski (trans.); Malin (encoded),,Hopke,Freygish,,,,2001,,dance,image/png,,,
No._103,beregovski103.png,,,No. 103,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._104,beregovski104.png,,,No. 104,Beregovski (trans.); Malin (encoded),,Freylekhs,Freygish,,,,2001,,dance,image/png,,,
No._105,beregovski105.png,,,No. 105,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,
No._106,beregovski106.png,,,No. 106,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,
No._107,beregovski107.png,,,No. 107,Beregovski (trans.); Malin (encoded),,Karahod,Altered Dorian,,,,2001,,dance,image/png,,,
No._108,beregovski108.png,,,No. 108,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,
No._109,beregovski109.png,,,No. 109,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,
No._110,beregovski110.png,,,No. 110,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,
No._111,beregovski111.png,,,No. 111,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,
No._112,beregovski112.png,,,No. 112,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,
No._113,beregovski113.png,,,No. 113,Beregovski (trans.); Malin (encoded),,Skotshne,Altered Dorian,,,,2001,,dance,image/png,,,
No._114,beregovski114.png,,,No. 114,Beregovski (trans.); Malin (encoded),,Freylekhs,Altered Dorian,,,,2001,,dance,image/png,,,
